requirement_id,title,requirement_text,category,priority,qa_requirements_review,rejection_reason
REQ-001,Регистрация пользователя,"Система должна регистрировать пользователя после ввода уникального адреса электронной почты, пароля длиной от 8 до 64 символов и подтверждения согласия с правилами обработки персональных данных. После успешной регистрации система должна отправлять письмо для подтверждения электронной почты.","Функциональное","High","Passed",""
REQ-002,Авторизация пользователя,"Система должна авторизовать пользователя по подтверждённому адресу электронной почты и паролю. При неверной паре учётных данных система должна возвращать сообщение об ошибке без раскрытия того, какое из значений введено неверно.","Безопасность","Critical","Passed",""
REQ-003,Восстановление пароля,"Система должна отправлять ссылку для восстановления пароля на подтверждённый адрес электронной почты. Ссылка должна быть действительна 30 минут и становиться недействительной после успешной смены пароля.","Безопасность","High","Passed",""
REQ-004,Поиск товаров,"Система должна отображать товары, соответствующие поисковому запросу пользователя по названию и артикулу. Результаты должны отображаться не позднее чем через 2 секунды после отправки запроса при количестве одновременно обрабатываемых запросов не более 100.","Функциональное","High","Passed",""
REQ-005,Фильтрация товаров,"Система должна позволять фильтровать каталог по категории, цене, бренду и наличию. При выборе нескольких значений одного фильтра система должна применять условие ИЛИ, а между разными фильтрами — условие И.","Функциональное","Medium","Passed",""
REQ-006,Карточка товара,"Карточка товара должна отображать название, артикул, текущую цену, доступное количество, описание, характеристики и не менее одного изображения. Если товар недоступен, система должна отображать его статус и блокировать добавление товара в корзину.","Функциональное","High","Passed",""
REQ-007,Добавление товара в корзину,"Авторизованный и неавторизованный пользователь должны иметь возможность добавить доступный товар в корзину. После добавления система должна увеличить количество товара в корзине на одну единицу и пересчитать итоговую стоимость.","Функциональное","High","Passed",""
REQ-008,Ограничение количества товара,"Система не должна позволять установить в корзине количество товара, превышающее доступный остаток. При попытке превысить остаток система должна сохранить максимально доступное количество и показать пользователю сообщение с фактическим остатком.","Функциональное","High","Passed",""
REQ-009,Расчёт стоимости заказа,"Итоговая стоимость заказа должна рассчитываться как сумма стоимостей товаров, стоимости доставки и применённых скидок. Система должна пересчитывать итоговую стоимость после изменения состава корзины, способа доставки или промокода.","Финансовое","Critical","Passed",""
REQ-010,Промокод,"Система должна принимать действительный промокод, если срок его действия не истёк, заказ соответствует условиям акции, а код ранее не был использован данным пользователем. При успешном применении система должна отобразить размер скидки и обновлённую стоимость заказа.","Функциональное","High","Passed",""
REQ-011,Оформление заказа,"Пользователь должен иметь возможность оформить заказ, указав контактные данные, адрес доставки и способ оплаты. Перед подтверждением заказа система должна отображать состав заказа, стоимость товаров, скидку, стоимость доставки и итоговую сумму.","Функциональное","Critical","Passed",""
REQ-012,Создание заказа,"После успешного подтверждения и оплаты заказа система должна создать уникальный номер заказа, сохранить состав заказа и перевести его в статус «Оплачен». При неуспешной оплате заказ не должен переходить в статус «Оплачен».","Финансовое","Critical","Passed",""
REQ-013,Оплата заказа,"Система должна поддерживать оплату банковской картой через платёжный шлюз. При получении успешного ответа шлюза система должна зафиксировать идентификатор платежа, а при отказе шлюза — сохранить заказ в статусе «Ожидает оплаты» и показать пользователю причину отказа без раскрытия чувствительных данных.","Финансовое","Critical","Passed",""
REQ-014,История заказов,"Авторизованный пользователь должен иметь возможность просматривать историю своих заказов с указанием номера, даты создания, итоговой суммы и текущего статуса. Пользователь не должен иметь доступа к заказам других пользователей.","Безопасность","High","Passed",""
REQ-015,Отмена заказа,"Пользователь должен иметь возможность отменить заказ в статусах «Новый» и «Оплачен» до передачи заказа в доставку. После успешной отмены система должна изменить статус заказа на «Отменён» и инициировать возврат оплаты для оплаченного заказа.","Функциональное","High","Passed",""
REQ-016,Производительность каталога,"Система должна отображать первую страницу каталога не позднее чем через 2 секунды для 95 процентов запросов при одновременной работе 500 пользователей и объёме каталога до 1 000 000 товаров.","Нефункциональное","High","Passed",""
REQ-017,Удобный интерфейс,"Интернет-магазин должен иметь современный, удобный и красивый интерфейс, которым пользователи смогут легко пользоваться на любых устройствах.","Нефункциональное","Medium","Failed","Требование содержит субъективные и неизмеримые формулировки: «современный», «удобный», «красивый», «легко пользоваться». Не определены устройства, критерии удобства и измеримые условия."
REQ-018,Быстрая работа магазина,"Система должна работать быстро и никогда не зависать даже при очень большой нагрузке.","Нефункциональное","High","Failed","Требование не содержит измеримых показателей производительности, профиля нагрузки, допустимого времени ответа, уровня ошибок и критериев отказа."
REQ-019,Корректная обработка оплаты,"Система должна корректно обрабатывать оплату и делать всё необходимое в случае возникновения проблем.","Финансовое","Critical","Failed","Формулировка неоднозначна: не определены виды проблем, ожидаемые статусы, действия системы, повторная обработка, возврат средств и критерии корректности."
REQ-020,Полная безопасность данных,"Система должна быть полностью безопасной и гарантировать, что данные пользователей никогда не будут украдены.","Безопасность","Critical","Failed","Требование содержит недостижимую гарантию и не определяет конкретные угрозы, контролируемые меры защиты, область применения, критерии проверки и допустимый уровень риска."
